benchmark,combo,method,model,split,complete,aggregate,aggregate_mu,memorization,privacy_score,utility,model_utility,lr,epochs,retain_loss_type,target_id,path,exact_memorization,extraction_strength,forget_Q_A_PARA_Prob,forget_Q_A_gibberish,forget_quality,forget_truth_ratio,mia_loss,mia_min_k,mia_min_k_plus_plus,mia_zlib,privleak,retain_Q_A_Prob,retain_Truth_Ratio,ra_Q_A_Prob_normalised,ra_Truth_Ratio,wf_Q_A_Prob_normalised,wf_Truth_Ratio,retain_Q_A_ROUGE,ra_Q_A_ROUGE,wf_Q_A_ROUGE,forget_Q_A_ROUGE,ra_Q_A_Prob,wf_Q_A_Prob,retain_Q_A_PARA_Prob,retain_Q_A_PERT_Prob,ra_Q_A_PERT_Prob,wf_Q_A_PERT_Prob,forget_Q_A_PERT_Prob,eval_seconds,eval_vram_mb,train_seconds,train_vram_mb
tofu,weight-baseline,GradDiff,Llama-3.1-8B-Instruct,forget01,True,0.11802663501040252,0.11701018741582092,0.13141470767114424,0.06080785314160386,0.7335418064440953,0.631292970852176,2e-05,5,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/GradDiff/Llama-3.1-8B-Instruct/forget01,0.9605125352740288,0.5235455159220317,0.04338139984756708,0.8753140907734632,0.02860307028023343,0.5077905446797079,0.9731249999999999,0.9724999999999999,0.8812500000000001,0.9806250000000001,-94.49999998109998,0.9660946158319712,0.5182604343063705,0.3983894897829958,0.5206329735738915,0.4987680715315437,0.6344186781789419,0.925779712368865,0.929,0.8903133903133904,0.7462656305637483,0.013358589972372102,0.005416497512431471,0.04060152632708196,0.014951519494342763,0.00507287427979397,0.0013813352353176322,0.018241790853207932,188.321,22703.9,215.654,38776.8
tofu,weight-baseline,NPO,Llama-3.1-8B-Instruct,forget01,True,0.5894978443334579,0.5630612854353588,0.6044773124074555,0.4859564087143664,0.7262387821687385,0.6188512208810009,2e-05,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/NPO/Llama-3.1-8B-Instruct/forget01,0.66195632442832,0.07677866509525273,0.007958833203883842,0.8787208016961813,0.5786001416508443,0.6377945418029533,0.280625,0.25,0.18562499999999998,0.29281250000000003,49.99999999,0.7036379807535559,0.5129183984241661,0.4756017506614494,0.6241855858157236,0.5037093915204283,0.6590864965427112,0.6086924427826851,0.8523333333333334,0.8703703703703705,0.32502890307013865,0.015542491956803134,0.0065212681000549905,0.03051489706078428,0.010578841175366204,0.003274865965797744,0.0010940449442396428,0.007643138262646972,192.155,22703.9,1317.387,46807.7
tofu,weight-baseline,RMU,Llama-3.1-8B-Instruct,forget01,True,0.27975976160158217,0.2758861746990331,0.4777071800002455,0.13652972179595654,0.7658484650413888,0.686669474694334,5e-05,5,EMBED_DIFF,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/RMU/Llama-3.1-8B-Instruct/forget01,0.7830532714724541,0.09729041244892969,0.04845650922507048,0.8656674906611442,0.7659314523482239,0.6229738974562379,0.9362500000000001,0.941875,0.86,0.9481250000000001,-88.374999982325,0.8772602061927318,0.5038365833355012,0.5600109406216359,0.6974245599621902,0.5734709676259784,0.718750207558741,0.7271058571175452,0.8855,0.8905982905982905,0.43046296141719864,0.060595370716764595,0.019724504244857242,0.05613435001694597,0.02255737766656074,0.012075128941120662,0.0027109267163170445,0.029920670712599535,190.095,22703.9,1033.863,46499.8
tofu,weight-baseline,SimNPO,Llama-3.1-8B-Instruct,forget01,True,0.5859414030879218,0.55768304081692,0.5548917126364296,0.5054596148702898,0.7465945695974477,0.6254499787321296,5e-05,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/SimNPO/Llama-3.1-8B-Instruct/forget01,0.7239212989807129,0.056281481163348614,0.07288133041001857,0.9259420361369848,0.9188052214121167,0.6905077951314894,0.8071875000000001,0.8,0.5393749999999999,0.7187499999999999,-59.999999988000006,0.6737915125116706,0.4595635634322582,0.533910606520162,0.6817290130858408,0.5900945800679394,0.7467297204049929,0.4911314533368396,0.838,0.8877492877492879,0.36483488929183067,0.20635953242948746,0.10696948474346715,0.09043133985134773,0.041215811946622126,0.056110205403044046,0.023097878555893105,0.050484147488605226,196.941,22703.9,360.686,38776.8
tofu,weight-baseline,UNDIAL,Llama-3.1-8B-Instruct,forget01,True,0.4331509407421536,0.4025962223366617,0.7591250215655824,0.25335249903455176,0.6018236820312196,0.4571932543932262,0.0001,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/UNDIAL/Llama-3.1-8B-Instruct/forget01,0.4403523575514555,0.040385558526345025,0.08449791339226068,0.8803021479398012,0.16497269950224194,0.7418377203017187,0.1403125,0.13625,0.139375,0.10437500000000001,72.74999998545,0.33700382689014075,0.3420389858024609,0.4497560619079233,0.5640972376296676,0.4665724622734351,0.6083188090449068,0.2953104408724097,0.7101666666666666,0.8219373219373218,0.2319547388204506,0.016438710509901283,0.005892306533139015,0.12325719162123278,0.07821989099893471,0.0056066832689415005,0.001968031612071108,0.07866793476976455,299.413,22703.9,397.434,46807.7
tofu,weight-baseline,GradDiff,Llama-3.1-8B-Instruct,forget05,True,0.18521430104342845,0.1871459013735611,0.5886069874616506,0.07925789308510132,0.531494517203654,0.5833260233319253,2e-05,5,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/GradDiff/Llama-3.1-8B-Instruct/forget05,0.455659975418821,0.0394101700624645,0.00031695585092132944,0.4881223456590669,4.024806511439489e-06,0.3427856714170347,0.02303750000000002,0.02345000000000002,0.09945000000000001,0.02017500000000002,51.685305987622684,0.6605790307186544,0.5343018975133905,0.4351695807226267,0.5623356469683697,0.4484929633695125,0.627376319137573,0.5396159314013373,0.866,0.8806267806267806,0.2091320234661123,0.008338873508382676,0.004177717595914436,0.04817237675830256,0.017170862533754768,0.002518582789290633,0.0009915040732968812,0.0010733290851563289,375.761,23911.0,1455.59,38775.8
tofu,weight-baseline,NPO,Llama-3.1-8B-Instruct,forget05,True,0.4131652417219802,0.3955567369606548,0.7116640923588606,0.22634020350619555,0.69553990596927,0.5678715338202777,2e-05,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/NPO/Llama-3.1-8B-Instruct/forget05,0.5072669323906303,0.05579637056005085,0.023710637748226873,0.8972614184241684,0.011843449760085422,0.6632387214939777,0.06501250000000001,0.06733750000000001,0.120575,0.10685,44.8683597320801,0.6129230174422264,0.4895123957556929,0.4505476143564347,0.5889996016944455,0.4688510130536935,0.6460970954064117,0.48253706407014896,0.7645000000000001,0.8361823361823363,0.261579487651097,0.02701150264707394,0.015296476389196938,0.13169507848564535,0.06033474826735665,0.009755588942153203,0.003984463733851471,0.02135347665809968,289.029,23911.0,3274.995,46807.7
tofu,weight-baseline,RMU,Llama-3.1-8B-Instruct,forget05,True,0.5318018692770929,0.5270229945344658,0.7665956325723536,0.35171068315292275,0.669575317321904,0.6474014925845736,5e-05,5,EMBED_DIFF,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/RMU/Llama-3.1-8B-Instruct/forget05,0.4086918364465237,0.05435256093392903,0.013500622071442194,0.693321940349415,0.11228360286766195,0.6870268176082199,0.14183750000000003,0.16972500000000001,0.8562749999999999,0.09360000000000003,28.96474059817262,0.9664366564154625,0.512518738223564,0.44110506083072965,0.5708964791509501,0.4939921911393216,0.6463795060306269,0.9067754796049801,0.9075,0.8920227920227921,0.2441439175750172,0.04803331778102802,0.016825373302611565,0.06176501838373952,0.024657453238616667,0.013590069228879051,0.0032558287075569277,0.009828534878848586,306.264,23911.0,2930.19,46465.4
tofu,weight-baseline,SimNPO,Llama-3.1-8B-Instruct,forget05,True,0.6058298211639839,0.5615881132055814,0.6785960499667694,0.525862976026766,0.6342687079718821,0.5084590798978038,5e-05,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/SimNPO/Llama-3.1-8B-Instruct/forget05,0.5672336199879646,0.06092567428669719,0.03818092975066975,0.8428071231418289,0.5452713464323318,0.676026293914295,0.17901250000000002,0.17936249999999998,0.23667500000000002,0.19245,27.467769489365075,0.4687119825836271,0.40564520543195853,0.4444334063640722,0.5630289162891597,0.432933910750121,0.5994597259170833,0.40715930073402345,0.6848333333333333,0.8464387464387464,0.2752759077550404,0.015731730407205758,0.007648932284363248,0.10695858369581401,0.05764356748098795,0.005501376369226516,0.002890685323482518,0.03227782140718773,299.893,23911.0,2900.5,38775.8
tofu,weight-baseline,UNDIAL,Llama-3.1-8B-Instruct,forget05,True,0.6526505163808469,0.6002687139116102,0.671718106640458,0.6660703670031421,0.622440910123159,0.4980826031256733,0.0001,10,NLL,open-unlearning/tofu_Llama-3.1-8B-Instruct_full,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/baselines/tofu/UNDIAL/Llama-3.1-8B-Instruct/forget05,0.5005682732909917,0.043054370935507215,0.11753302129916847,0.8295607002754696,2.3797467071606504e-06,0.5635628686508142,0.5701875,0.6583625000000001,0.601,0.4795750000000001,-46.9342186941699,0.41737765409052374,0.39914246422203775,0.4579911825343197,0.5706989855241547,0.44424670864013205,0.6040107847553127,0.40943716277955233,0.6266666666666666,0.7766381766381766,0.36247350069216194,0.015288451622873254,0.00959539249426528,0.10236001339741051,0.057423599806131646,0.005178910352081516,0.00288722580231328,0.06511610544007272,285.25,23911.0,3211.583,46807.7
