target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,IdkNLL,forget01,sud,1,False,0.95,0.17065039281779476,0.4229971761637563,0.07553794242520769,0.505730135686669,0.34686573186503233,0.02860307028023343,0.9330809280276299,-90.31877211989257,2.12,False,1.0,False,False,True,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget01,sud,2,False,0.9,0.11758068023050142,0.3965229038845654,0.04714403983385056,0.561518824036314,0.4083807318647188,0.02860307028023343,0.8984136372804642,-93.86068475204519,2.5,False,1.0,False,False,False,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget01,sud,3,False,0.8,0.05520765333894106,0.3144698103319849,0.020223582944778367,0.5837322354893484,0.4554875631340763,0.02860307028023343,0.8124936582520604,-97.52066113860293,3.12,False,1.0,False,False,False,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget01,baseline_q,,,,0.2279970625751064,0.4559684635780731,0.1080956334671943,0.5834773307443935,0.4168145287265408,0.0143015480477064,0.9722172692418098,-88.90200706703146,,,1.0,False,False,,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
Llama-3.2-1B-Instruct,NPO,forget01,sud,1,False,0.9,0.6895462843150849,0.5805911415342615,0.9046344289000696,0.6566481626464417,0.5146812305489483,0.5786001416508443,0.9067655461374671,-0.8264462808356213,2.06,True,1.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget01,sud,2,False,0.8,0.628057943297173,0.5438235725143767,0.6899435092996793,0.6718607499952047,0.5279101987084522,0.09707484379785862,0.9237484835088253,-40.37780400654022,2.5,False,1.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget01,sud,3,False,0.95,0.662993475308776,0.6055542573841022,0.7569181111579902,0.644161865817528,0.5116988114210359,0.5786001416508443,0.8691608188208193,21.25147579291588,2.69,True,1.0,False,False,True,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget01,baseline_q,,,,0.6303703892568417,0.627525243223481,0.5835964053683511,0.6886898451337274,0.5467137481000217,0.5786001416508443,0.9302722529508174,42.50295158583178,,,1.0,False,False,,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget01,reference_p,,,,,0.06887851270800835,0.0,,0.5991534707368931,0.006760732303569208,,-99.9999999811098,,,,,,,,,
