combo,target,draft,split,alpha,k,seed,complete,aggregate,aggregate_mu,memorization,privacy_score,utility,model_utility,forget_quality,exact_memorization,extraction_strength,forget_Q_A_PARA_Prob,forget_Q_A_gibberish,forget_truth_ratio,mia_loss,mia_min_k,mia_min_k_plus_plus,mia_zlib,privleak,retain_Q_A_Prob,retain_Truth_Ratio,ra_Q_A_Prob_normalised,ra_Truth_Ratio,wf_Q_A_Prob_normalised,wf_Truth_Ratio,retain_Q_A_ROUGE,ra_Q_A_ROUGE,wf_Q_A_ROUGE,forget_Q_A_ROUGE,ra_Q_A_Prob,wf_Q_A_Prob,retain_Q_A_PARA_Prob,retain_Q_A_PERT_Prob,ra_Q_A_PERT_Prob,wf_Q_A_PERT_Prob,forget_Q_A_PERT_Prob,eval_seconds,eval_vram_mb,_path
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget01,0.8,1,0,True,0.06196296482248165,0.06160983407155147,0.19961845383610702,0.023857002572459575,0.6711199290997605,0.5657535640909255,0.006760732303569208,0.9344991892576218,0.3657688938423952,0.07135803294368089,0.8247155711054802,0.47221323870234705,0.9849999999999999,0.9875,0.9381250000000001,0.994375,-97.63872489300805,0.8596954583376646,0.5223401482075134,0.41102152509621,0.5337420766802353,0.43074482151025706,0.6218142294007822,0.5732819467130852,0.629,0.7937321937321937,0.522207491307652,0.012100651131113409,0.0036802840453045937,0.06349893709266326,0.027143624241019893,0.004778207495223038,0.001255360717734879,0.028947725481120866,740.961,24891.3,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget01/a0.8_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget01,0.9,1,0,True,0.06915905046666775,0.06873799722351616,0.21568675059413905,0.026847733851829973,0.668974364016274,0.5680080816274305,0.006760732303569208,0.9276666536927223,0.34636432966559283,0.06838844125159085,0.8135949411429465,0.47231785648836233,0.981875,0.98625,0.933125,0.99375,-97.40259738419785,0.8551404049247503,0.5231073402879409,0.4106447693326235,0.534362181200907,0.4302174665189026,0.6223853924378747,0.5634390023510634,0.6695,0.7951566951566952,0.5364736894751194,0.011670486854072806,0.003517853807230633,0.06068602390703745,0.02585255982145507,0.004607383047845323,0.001190354226364112,0.027606451801839283,732.582,24891.3,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget01/a0.9_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget01,0.95,1,0,True,0.0760848849499086,0.07556897900647311,0.22156892753435445,0.02993831549970706,0.6603432859972678,0.5606801028763934,0.006760732303569208,0.9250065580010414,0.34636432966559283,0.06693638083525003,0.8030970787862316,0.4723819427620401,0.98125,0.983125,0.928125,0.993125,-96.81227861217242,0.8526479518413543,0.5235051741995643,0.41045448907312854,0.5346542169912393,0.4299580995740222,0.6227733445066885,0.5733126820094853,0.6178333333333333,0.7310541310541311,0.5113685157774044,0.011460715981156682,0.0034399585739807257,0.05931345376156969,0.025223979085349325,0.004524194052988643,0.0011592333239037426,0.026952271853224373,744.873,24891.3,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget01/a0.95_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget05,0.5,1,0,True,0.5911028738565224,0.6355864480385899,0.6636171935373457,0.7098018880263363,0.46306542999774597,0.5542273701584371,0.06801920461119272,0.5426948369294405,0.06473443387414511,0.02571171430198488,0.39765693570603616,0.5729862832907046,0.29237500000000005,0.29202500000000003,0.2517,0.22974999999999998,11.03748431445461,0.8219564377516508,0.4963345275740943,0.412634202583953,0.5289449472555344,0.44231936277674,0.6168835988564217,0.5079697079653597,0.607,0.8364672364672365,0.26387711100951533,0.0180890597961843,0.00803800115042172,0.0888371451117564,0.040442263376538605,0.0072873202158659,0.002727420177897033,0.013909747954142286,1069.013,27406.4,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget05/a0.5_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget05,0.7,1,0,True,0.40868106974822976,0.46150155141537913,0.695094259407004,0.30818192565282876,0.3763364147329578,0.5503488187493457,0.11228360286766195,0.4570465003605932,0.05130115506246657,0.011538436997114099,0.28592958152818027,0.541392587475681,0.12694999999999998,0.12075,0.11649999999999999,0.09575,37.89993725879864,0.7664468505233526,0.4871072270554022,0.4121251737301612,0.5328074616758341,0.4461046080358668,0.6165570843928148,0.4707429976650562,0.7,0.7837606837606838,0.22228158038112064,0.018788351151742974,0.00955902021159388,0.08463510218665761,0.03911210355867251,0.0075793773036487745,0.003152862031138774,0.007117909642361384,1168.861,27406.4,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget05/a0.7_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget05,0.8,1,0,True,0.3433107571075922,0.39341968241220243,0.6866818692274633,0.23201382082870242,0.336465583461594,0.5379010121464797,0.0030098470801667434,0.4324970926344395,0.04632960074619175,0.008065452142458374,0.24479407195583916,0.4984307150909416,0.09664999999999999,0.092275,0.08875000000000001,0.0693,42.36590338105931,0.7302649167925119,0.48254392908161214,0.41188978207973614,0.534756176561899,0.44807336736277903,0.6187284766550364,0.42839934325466816,0.6491666666666667,0.7877492877492877,0.20785489235722573,0.019127374250092543,0.010452218261035248,0.0817459277103626,0.03805506206681662,0.007715163433226735,0.0033966042257962737,0.005442921470036274,1205.216,27406.4,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget05/a0.8_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget05,0.9,1,0,True,0.29858424378403775,0.336287641212851,0.6826828678321077,0.17877782197022365,0.334552031115417,0.5368866706383967,2.9607827368482373e-05,0.4043829096574336,0.043386639202306475,0.00575256642002538,0.2429807199438801,0.4696677576616024,0.073525,0.06989999999999999,0.07235000000000001,0.05130000000000001,45.87515683094808,0.6891558878868819,0.47825536102748517,0.4116592993930178,0.5368612972433039,0.45003582227733757,0.6210144716293998,0.426712892170399,0.657,0.811965811965812,0.19565444190617093,0.01946321805458865,0.01144756396228269,0.07838262895429579,0.03674879996372843,0.00784468119609907,0.003664559212304435,0.0043581821813853065,1201.317,27406.4,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget05/a0.9_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget05,0.95,1,0,True,0.2696936751687569,0.3110033093189082,0.6812082590861427,0.1583771529955767,0.2992480336550935,0.5364295395584078,6.734842895808746e-06,0.3885944658983499,0.04252238580864131,0.004885574900069431,0.2075015420850832,0.45724248553526947,0.064175,0.061225,0.06657500000000001,0.0446,47.235727721575344,0.6669390384852886,0.47628098987187073,0.4115463837773677,0.5381613544845928,0.4510039532341065,0.622151242750179,0.40626235510750286,0.727,0.8136752136752137,0.18081398040789362,0.019630723689333537,0.011986435517390722,0.07652920776399696,0.03600298817348061,0.007906691393888348,0.003808559365616324,0.003953977377819548,1198.095,27406.4,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget05/a0.95_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget10,0.5,1,0,True,0.00826115440098137,0.008261305600342389,0.003977031808209407,0.009104265927486649,0.5367825734229286,0.5387044733642836,1.4734357184767768e-198,0.03399498609593138,0.03250892997513522,4.7610008477990337e-05,0.5348743379994993,0.0009973009353861444,0.0019062499999999984,0.006312499999999981,0.00726875,0.002812499999999999,60.95037556462509,0.7890649693459273,0.46209165391293866,0.4065893292548734,0.5099538018743299,0.45135402203456376,0.6185818026971113,0.45984027754312634,0.637,0.7823361823361823,0.025956843486656986,0.034642755858076274,0.014681808062787086,0.1180164103466086,0.05940806763342629,0.01539734744260689,0.0051981198289164764,0.003975811081040182,3416.291,32402.5,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget10/a0.5_k1_s0
original-unlearned,Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct_GradDiff,forget10,0.7,1,0,True,0.001490359996090223,0.0014903382148871147,0.00054239838467537,0.005974735153083983,0.52583599029525,0.5178254684083844,3.966942318975938e-200,0.03305223537376151,0.03250892997513522,1.0851032407258573e-05,0.5340982445463305,0.0001356560279434557,0.0014625000000000003,0.001618749999999998,0.00704375,0.003074999999999999,61.710635530892574,0.7093436460196972,0.4402423447006003,0.40646548476542654,0.5183069806781053,0.4619850703621981,0.6152859493790227,0.42065560532725,0.5491666666666667,0.7566951566951566,0.027340711993829543,0.04617630829161499,0.02242236038545475,0.12481439505936578,0.06615408606069467,0.020871435526793602,0.007977728333927212,0.004306183733046055,3451.345,32402.5,/home/joaoabitante/speculative-decoding-unlearning/saves/unlearn/sud/results/original-unlearned/target-Llama-3.2-1B-Instruct/draft-Llama-3.2-1B-Instruct_GradDiff/forget10/a0.7_k1_s0
