alpha,acceptance,a_se,tps_k1,tps_k4,speedup,speedup_ci_lo,speedup_ci_hi,algo_speedup,theory_speedup,theory_src,kbar_k4,model_utility,forget_quality,privleak,fq_pass,metrics_source
0.0,0.643970893970894,0.005458123293482213,15.049966650954437,14.613417897528278,0.9709933740352525,0.9016137317938246,1.0512997656438048,0.9192233940556088,0.9361161899807161,rounds,3.8596389050669773,,,,,
0.1,0.670872625846726,0.005415435524750656,17.25314424801101,15.272315559019864,0.8851902783332086,0.85253244593956,0.9190658414406997,0.9601623953311342,0.9744047413286547,rounds,3.853448275862069,,,,,
0.2,0.6938403437947649,0.005259584311351075,15.848724472202514,15.819866904567359,0.9981791867423925,0.9491853363781663,1.0531156740378587,0.9938603223330775,1.0076610738385863,rounds,3.864965774735532,,,,,
0.3,0.7293952538912988,0.005018183540785529,16.062831679283995,16.56816144869902,1.0314595694896525,0.997325145470675,1.0659917243690427,1.0431351920042082,1.0626274377059644,rounds,3.8618925831202047,,,,,
0.4,0.7563212367352287,0.004913764713826715,16.095958298325087,17.315496808126504,1.0757667538147337,1.0483552514378358,1.1055874448852034,1.0898502495840265,1.1056061881546997,rounds,3.8598382749326148,,,,,
0.5,0.7905092592592593,0.004614851928122666,16.144671767804617,18.491750255389814,1.1453779006065452,1.1113844507576423,1.1813344935021959,1.1639492753623188,1.1637581180495866,rounds,3.849194729136164,0.55301990359528,9.906736183347326e-11,-93.22042475864501,False,main grid
0.6,0.8259200423616627,0.004362695465782674,16.150254067076297,19.204784713479643,1.1891320491750204,1.1583345033789867,1.22207449073162,1.208294930875576,1.2273053362950763,rounds,3.869109947643979,,,,,
0.7,0.8677139313766019,0.003977102450091091,16.033027074886654,21.04387337035407,1.312532765775476,1.278092769648323,1.3470623446927124,1.3251117068811438,1.3062564766379028,rounds,3.8609904430929625,0.5382022432788043,0.00017795251634334,-59.28812940668734,False,main grid
0.8,0.9029645896239363,0.0034678148317853494,15.850779780661123,21.870489412237493,1.3797737218531525,1.3471181303164332,1.4126164527449927,1.370159662323362,1.3754761402991094,rounds,3.847864768683274,0.5297466362719577,0.01260422744087484,-26.51090279176192,True,main grid
0.9,0.9570787110406762,0.002329189926760506,15.90413778211984,23.962699450364397,1.506695916411411,1.4777147762069156,1.5360100067937694,1.5045063088323654,1.4913601404969123,rounds,3.8617332035053553,0.5249145411544172,0.13142600454226117,6.734020366992531,True,main grid
0.95,0.9764639955169515,0.001794346097503802,16.08660561854425,24.6134684761217,1.5300597938292144,1.5044446756708565,1.5544589667806237,1.5367918385066204,1.5336028617350106,rounds,3.849473684210526,0.5150272727446134,0.5234101030810641,20.869186690551857,True,main grid
0.98,0.9922779922779923,0.0009930503893418837,16.195381151786638,25.063831039492456,1.5475913042483394,1.5264672884637391,1.5685075829744781,1.5706488781079442,1.5697349638068243,rounds,3.85,,,,,
1.0,1.0,1.1642082554346659e-08,16.20181454343598,25.235189100678294,1.5575532625080013,1.5361286100176335,1.5803157150434517,1.587779870265746,1.587779870265746,rounds,3.851776649746193,,,,,
