alpha,acceptance,a_se,tps_k1,tps_k4,speedup,speedup_ci_lo,speedup_ci_hi,algo_speedup,theory_speedup,theory_src,kbar_k4,model_utility,forget_quality,privleak,fq_pass,metrics_source
0.0,0.6313868613138686,0.005412013799360777,19.933933664904046,16.95810823225288,0.8507155946901517,0.8130144153717587,0.8884854444059961,0.872843874391862,0.9187534146804619,rounds,3.857142857142857,,,,,
0.1,0.6522865656173079,0.005420625849536086,19.200616074534288,17.71704959142887,0.9227333916085606,0.8848630450269322,0.9632984661217837,0.905287623474724,0.9478618836576541,rounds,3.867081447963801,,,,,
0.2,0.6791596420697704,0.0053158789135186076,19.958384825814253,18.126661362011447,0.9082228607280061,0.8610459518835516,0.9588740006486082,0.9272835820895523,0.9857528725962512,rounds,3.8748544819557624,,,,,
0.3,0.6999607278439587,0.00524333533450275,19.311130423274463,18.442384473186173,0.9550132006233438,0.9189189384791985,0.9931908816813878,0.9670994579604184,1.016712629944497,rounds,3.8788437884378846,,,,,
0.4,0.7283589678403457,0.0050149412174650375,19.20199409994674,20.61570302074711,1.073623026517037,1.031538984387168,1.1188201737230998,1.03213267685929,1.0606711158152489,rounds,3.8755527479469363,,,,,
0.5,0.7653767298821117,0.004796942784368922,20.014650179594554,21.68996867241487,1.083704610262354,1.0377220276989272,1.1348399715227322,1.0928035565434844,1.1211438018793947,rounds,3.8733920108327693,0.5298476480437548,4.640299916950861e-12,-96.43457308474264,False,main grid
0.6,0.8112845445240532,0.004425863960156743,19.233831037882638,22.52788727603557,1.1712636568172516,1.1398866284900644,1.2034238519833222,1.1764890774791765,1.2003728051449933,rounds,3.8498475609756095,,,,,
0.7,0.8599103848181339,0.00398442729872134,20.01710021271995,24.43235019589437,1.2205739061229623,1.1823923950351989,1.2605197252938238,1.2786720321931588,1.2908420448032167,rounds,3.8527257933279087,0.5055955770172097,2.1316067663008397e-06,-79.09538173690021,False,main grid
0.8,0.9008104978772674,0.0033904335791756987,19.329992111641793,27.228311292199994,1.4086043664653807,1.3697266767357397,1.451187134052092,1.355412236360467,1.372553805745742,rounds,3.8742565845369583,0.494511521718101,0.0022938851536275073,-53.37612114703063,False,main grid
0.9,0.9515244291363695,0.002425722436634864,19.321642908482524,28.452932310550054,1.4725938392153362,1.4555171556427429,1.4893257261305206,1.4861526946107786,1.4791849049239607,rounds,3.862602365787079,0.4621933965251913,0.054052912731737235,-15.47751614415946,True,main grid
0.95,0.9764873993244999,0.001727009404013292,19.247328344839087,29.69326113649425,1.5427211821040139,1.5202742419386965,1.5709694580724654,1.5286181520850368,1.5331986293820983,rounds,3.8435643564356434,0.4609135287383889,0.28118158736530297,3.7699175957125997,True,main grid
0.98,0.9888568924502317,0.0011745676663958572,19.876192531724236,31.312753382418045,1.5753899210042368,1.5145434806809124,1.6404703717106657,1.5638106650689034,1.5631542455532565,rounds,3.8658892128279883,,,,,
1.0,1.0,1.1376866136860333e-08,19.84220867027147,29.83897662374127,1.5038132659318026,1.4638961210776045,1.542023668725547,1.5879934210526314,1.5879934210526314,rounds,3.8542914171656686,,,,,
